e5b66192e7b303d7d25fc172b1878c055b554047,New ValueFormatter,EXTRACT_SUPER,EXTRACT_SUPER	{Class LargeValueFormatter at MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java:10}	{Class ValueFormatter at MPChartLib/src/main/java/com/github/mikephil/charting/formatter/ValueFormatter.java:12}),MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java:248:2991:248:2991 ClassDeclaration LargeValueFormatter,MPChartLib/src/main/java/com/github/mikephil/charting/formatter/ValueFormatter.java:477:4805:477:4805 ClassDeclaration ValueFormatter
e5b66192e7b303d7d25fc172b1878c055b554047,New ValueFormatter,EXTRACT_SUPER,EXTRACT_SUPER	{Class CustomFormatter at MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/StackedBarActivityNegative.java:245}	{Class ValueFormatter at MPChartLib/src/main/java/com/github/mikephil/charting/formatter/ValueFormatter.java:12}),MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/StackedBarActivityNegative.java:9086:9700:9086:9700 ClassDeclaration CustomFormatter,MPChartLib/src/main/java/com/github/mikephil/charting/formatter/ValueFormatter.java:477:4805:477:4805 ClassDeclaration ValueFormatter
e5b66192e7b303d7d25fc172b1878c055b554047,New ValueFormatter,EXTRACT_SUPER,EXTRACT_SUPER	{Class PercentFormatter at MPChartLib/src/main/java/com/github/mikephil/charting/formatter/PercentFormatter.java:10}	{Class ValueFormatter at MPChartLib/src/main/java/com/github/mikephil/charting/formatter/ValueFormatter.java:12}),MPChartLib/src/main/java/com/github/mikephil/charting/formatter/PercentFormatter.java:248:1213:248:1213 ClassDeclaration PercentFormatter,MPChartLib/src/main/java/com/github/mikephil/charting/formatter/ValueFormatter.java:477:4805:477:4805 ClassDeclaration ValueFormatter
51f0e53a7f1de86bd0bc2fc2e3f2087ce54fe1bc,"Reinvented Markers - interface based, enhanced default behaviour",EXTRACT_SUPER,EXTRACT_SUPER	{Class MarkerView at MPChartLib/src/main/java/com/github/mikephil/charting/components/MarkerView.java:12}	{Interface IMarker at MPChartLib/src/main/java/com/github/mikephil/charting/components/IMarker.java:14}),MPChartLib/src/main/java/com/github/mikephil/charting/components/MarkerView.java:321:3380:321:3380 ClassDeclaration MarkerView,MPChartLib/src/main/java/com/github/mikephil/charting/components/IMarker.java:422:2096:422:2096 InterfaceDeclaration IMarker
c28b41b05ed9d22aaac4816eccd46602cf3803dd,Work on highlighting,EXTRACT_SUPER,EXTRACT_SUPER	{Class ChartHighlighter at MPChartLib/src/main/java/com/github/mikephil/charting/highlight/ChartHighlighter.java:14}	{Interface Highlighter at MPChartLib/src/main/java/com/github/mikephil/charting/highlight/Highlighter.java:3}),MPChartLib/src/main/java/com/github/mikephil/charting/highlight/ChartHighlighter.java:529:6635:529:6635 ClassDeclaration ChartHighlighter,MPChartLib/src/main/java/com/github/mikephil/charting/highlight/Highlighter.java:49:339:49:339 InterfaceDeclaration Highlighter
639d3359093ac91f52e5da7718834b034ed491b9,"Work on radarchart rendering, cleanup xaxis",EXTRACT_SUPER,EXTRACT_SUPER	{Class Entry at MPChartLib/src/main/java/com/github/mikephil/charting/data/Entry.java:8}	{Class BaseEntry at MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseEntry.java:3}),MPChartLib/src/main/java/com/github/mikephil/charting/data/Entry.java:143:4255:143:4255 ClassDeclaration Entry,MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseEntry.java:44:1134:44:1134 ClassDeclaration BaseEntry
cf3a09d3e083639413b5597b1495563ee27c7f23,Allow drawables for RadarChart area filling.,EXTRACT_SUPER,EXTRACT_SUPER	{Class LineChartRenderer at MPChartLib/src/com/github/mikephil/charting/renderer/LineChartRenderer.java:26}	{Class LineRadarRenderer at MPChartLib/src/com/github/mikephil/charting/renderer/LineRadarRenderer.java:10}),MPChartLib/src/com/github/mikephil/charting/renderer/LineChartRenderer.java:1004:20938:1004:20938 ClassDeclaration LineChartRenderer,MPChartLib/src/com/github/mikephil/charting/renderer/LineRadarRenderer.java:275:1658:275:1658 ClassDeclaration LineRadarRenderer
ee0fd10fc42fed77a178d55899afad911c16a988,Complete realm model,EXTRACT_SUPER,EXTRACT_SUPER	{Class RealmRadarDataSet at MPChartLib/src/com/github/mikephil/charting/data/realm/RealmRadarDataSet.java:12}	{Class RealmLineRadarDataSet at MPChartLib/src/com/github/mikephil/charting/data/realm/RealmLineRadarDataSet.java:12}),MPChartLib/src/com/github/mikephil/charting/data/realm/RealmRadarDataSet.java:315:1775:315:1775 ClassDeclaration RealmRadarDataSet,MPChartLib/src/com/github/mikephil/charting/data/realm/RealmLineRadarDataSet.java:315:2513:315:2513 ClassDeclaration RealmLineRadarDataSet
ee0fd10fc42fed77a178d55899afad911c16a988,Complete realm model,EXTRACT_SUPER,EXTRACT_SUPER	{Class RealmLineDataSet at MPChartLib/src/com/github/mikephil/charting/data/realm/RealmLineDataSet.java:15}	{Class RealmLineScatterCandleRadarDataSet at MPChartLib/src/com/github/mikephil/charting/data/realm/RealmLineScatterCandleRadarDataSet.java:12}),MPChartLib/src/com/github/mikephil/charting/data/realm/RealmLineDataSet.java:474:2864:474:2864 ClassDeclaration RealmLineDataSet,MPChartLib/src/com/github/mikephil/charting/data/realm/RealmLineScatterCandleRadarDataSet.java:337:3780:337:3780 ClassDeclaration RealmLineScatterCandleRadarDataSet
ee0fd10fc42fed77a178d55899afad911c16a988,Complete realm model,EXTRACT_SUPER,EXTRACT_SUPER	{Class RealmScatterDataSet at MPChartLib/src/com/github/mikephil/charting/data/realm/RealmScatterDataSet.java:13}	{Class RealmLineScatterCandleRadarDataSet at MPChartLib/src/com/github/mikephil/charting/data/realm/RealmLineScatterCandleRadarDataSet.java:12}),MPChartLib/src/com/github/mikephil/charting/data/realm/RealmScatterDataSet.java:374:1647:374:1647 ClassDeclaration RealmScatterDataSet,MPChartLib/src/com/github/mikephil/charting/data/realm/RealmLineScatterCandleRadarDataSet.java:337:3780:337:3780 ClassDeclaration RealmLineScatterCandleRadarDataSet
