7de07205eff46026913a9a65399070f3a0fc9852,"More refactoring, introducing base interface",EXTRACT_SUPER,EXTRACT_SUPER	{Interface IDataSet at MPChartLib/src/com/github/mikephil/charting/interfaces/datainterfaces/datasets/IDataSet.java:11}	{Interface IBaseDataSet at MPChartLib/src/com/github/mikephil/charting/interfaces/datainterfaces/datasets/IBaseDataSet.java:5}),MPChartLib/src/com/github/mikephil/charting/interfaces/datainterfaces/datasets/IDataSet.java:298:4454:298:4454 InterfaceDeclaration IDataSet,MPChartLib/src/com/github/mikephil/charting/interfaces/datainterfaces/datasets/IBaseDataSet.java:123:800:123:800 InterfaceDeclaration IBaseDataSet
e255de7db02c715d7441d63e774d8c3f34d40c06,2.x: test sync from Observable to Flowable 10/16-1 (#4714),EXTRACT_SUPER,EXTRACT_SUPER	{Interface QueueDisposable at src/main/java/io/reactivex/internal/fuseable/QueueDisposable.java:19}	{Interface QueueFuseable at src/main/java/io/reactivex/internal/fuseable/QueueFuseable.java:17}),src/main/java/io/reactivex/internal/fuseable/QueueDisposable.java:696:5446:696:5446 InterfaceDeclaration QueueDisposable,src/main/java/io/reactivex/internal/fuseable/QueueFuseable.java:628:3636:628:3636 InterfaceDeclaration QueueFuseable
e255de7db02c715d7441d63e774d8c3f34d40c06,2.x: test sync from Observable to Flowable 10/16-1 (#4714),EXTRACT_SUPER,EXTRACT_SUPER	{Interface QueueSubscription at src/main/java/io/reactivex/internal/fuseable/QueueSubscription.java:19}	{Interface QueueFuseable at src/main/java/io/reactivex/internal/fuseable/QueueFuseable.java:17}),src/main/java/io/reactivex/internal/fuseable/QueueSubscription.java:693:5875:693:5875 InterfaceDeclaration QueueSubscription,src/main/java/io/reactivex/internal/fuseable/QueueFuseable.java:628:3636:628:3636 InterfaceDeclaration QueueFuseable
bffcee7c16442cb9f4a9307ca19b00a0502a1695,"2.x: cleanup, enhancements 8/23-1 (#4410)",EXTRACT_SUPER,EXTRACT_SUPER	{Interface FlowableEmitter at src/main/java/io/reactivex/FlowableEmitter.java:19}	{Interface Emitter at src/main/java/io/reactivex/Emitter.java:15}),src/main/java/io/reactivex/FlowableEmitter.java:700:3353:700:3353 InterfaceDeclaration FlowableEmitter,src/main/java/io/reactivex/Emitter.java:611:1155:611:1155 InterfaceDeclaration Emitter
bffcee7c16442cb9f4a9307ca19b00a0502a1695,"2.x: cleanup, enhancements 8/23-1 (#4410)",EXTRACT_SUPER,EXTRACT_SUPER	{Interface ObservableEmitter at src/main/java/io/reactivex/ObservableEmitter.java:19}	{Interface Emitter at src/main/java/io/reactivex/Emitter.java:15}),src/main/java/io/reactivex/ObservableEmitter.java:700:2222:700:2222 InterfaceDeclaration ObservableEmitter,src/main/java/io/reactivex/Emitter.java:611:1155:611:1155 InterfaceDeclaration Emitter
2721eadf651b4d31a6c80546a9bbd3312803a7fe,Action interfacesAction Marker Interface,EXTRACT_SUPER,EXTRACT_SUPER	{Interface Action0 at rxjava-core/src/main/java/rx/util/functions/Action0.java:18}	{Interface Action at rxjava-core/src/main/java/rx/util/functions/Action.java:3}),rxjava-core/src/main/java/rx/util/functions/Action0.java:625:694:625:694 InterfaceDeclaration Action0,rxjava-core/src/main/java/rx/util/functions/Action.java:28:162:28:162 InterfaceDeclaration Action
2721eadf651b4d31a6c80546a9bbd3312803a7fe,Action interfacesAction Marker Interface,EXTRACT_SUPER,EXTRACT_SUPER	{Interface Action1 at rxjava-core/src/main/java/rx/util/functions/Action1.java:18}	{Interface Action at rxjava-core/src/main/java/rx/util/functions/Action.java:3}),rxjava-core/src/main/java/rx/util/functions/Action1.java:625:703:625:703 InterfaceDeclaration Action1,rxjava-core/src/main/java/rx/util/functions/Action.java:28:162:28:162 InterfaceDeclaration Action
2721eadf651b4d31a6c80546a9bbd3312803a7fe,Action interfacesAction Marker Interface,EXTRACT_SUPER,EXTRACT_SUPER	{Interface Action2 at rxjava-core/src/main/java/rx/util/functions/Action2.java:18}	{Interface Action at rxjava-core/src/main/java/rx/util/functions/Action.java:3}),rxjava-core/src/main/java/rx/util/functions/Action2.java:625:714:625:714 InterfaceDeclaration Action2,rxjava-core/src/main/java/rx/util/functions/Action.java:28:162:28:162 InterfaceDeclaration Action
2721eadf651b4d31a6c80546a9bbd3312803a7fe,Action interfacesAction Marker Interface,EXTRACT_SUPER,EXTRACT_SUPER	{Interface Action3 at rxjava-core/src/main/java/rx/util/functions/Action3.java:18}	{Interface Action at rxjava-core/src/main/java/rx/util/functions/Action.java:3}),rxjava-core/src/main/java/rx/util/functions/Action3.java:625:725:625:725 InterfaceDeclaration Action3,rxjava-core/src/main/java/rx/util/functions/Action.java:28:162:28:162 InterfaceDeclaration Action
e5d9d9c26cee43b2a435f0ecddf8f0c676fa80a5,Performance optimizations for dynamic function execution.,EXTRACT_SUPER,EXTRACT_SUPER	{Interface Func4 at rxjava-core/src/main/java/rx/util/Func4.java:18}	{Interface Function at rxjava-core/src/main/java/rx/util/Function.java:3}),rxjava-core/src/main/java/rx/util/Func4.java:616:708:616:708 InterfaceDeclaration Func4,rxjava-core/src/main/java/rx/util/Function.java:18:163:18:163 InterfaceDeclaration Function
