7abc9cd6696f78c77068ffc278793594b33497fe,Update and reorganise copy data sets methods (Fix for #1604).,EXTRACT,EXTRACT	{Method copy() at MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java:54}	{Method copy(BarDataSet) at MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java:65}),MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java:1371:1970:1418:1969 MethodDeclaration copy(),MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java:1709:2045:1753:2044 MethodDeclaration copy(BarDataSet)
7abc9cd6696f78c77068ffc278793594b33497fe,Update and reorganise copy data sets methods (Fix for #1604).,EXTRACT,EXTRACT	{Method copy() at MPChartLib/src/main/java/com/github/mikephil/charting/data/CandleDataSet.java:80}	{Method copy(CandleDataSet) at MPChartLib/src/main/java/com/github/mikephil/charting/data/CandleDataSet.java:91}),MPChartLib/src/main/java/com/github/mikephil/charting/data/CandleDataSet.java:1947:2675:1997:2674 MethodDeclaration copy(),MPChartLib/src/main/java/com/github/mikephil/charting/data/CandleDataSet.java:2300:3034:2350:3033 MethodDeclaration copy(CandleDataSet)
7abc9cd6696f78c77068ffc278793594b33497fe,Update and reorganise copy data sets methods (Fix for #1604).,EXTRACT,EXTRACT	{Method copy() at MPChartLib/src/main/java/com/github/mikephil/charting/data/ScatterDataSet.java:48}	{Method copy(ScatterDataSet) at MPChartLib/src/main/java/com/github/mikephil/charting/data/ScatterDataSet.java:59}),MPChartLib/src/main/java/com/github/mikephil/charting/data/ScatterDataSet.java:1768:2589:1812:2588 MethodDeclaration copy(),MPChartLib/src/main/java/com/github/mikephil/charting/data/ScatterDataSet.java:2105:2449:2157:2448 MethodDeclaration copy(ScatterDataSet)
7abc9cd6696f78c77068ffc278793594b33497fe,Update and reorganise copy data sets methods (Fix for #1604).,EXTRACT,EXTRACT	{Method copy() at MPChartLib/src/main/java/com/github/mikephil/charting/data/LineDataSet.java:85}	{Method copy(LineDataSet) at MPChartLib/src/main/java/com/github/mikephil/charting/data/LineDataSet.java:96}),MPChartLib/src/main/java/com/github/mikephil/charting/data/LineDataSet.java:2254:2959:2298:2958 MethodDeclaration copy(),MPChartLib/src/main/java/com/github/mikephil/charting/data/LineDataSet.java:2585:3193:2631:3192 MethodDeclaration copy(LineDataSet)
35c9fc937ecda0dd2eb1a7b879aa869a48bfad3d,refactor(EasingFunction): Simplified EasingFunction,EXTRACT,"EXTRACT	{Method animateY(int, EasingFunction) at MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:100}	{Method yAnimator(int, EasingFunction) at MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:46})","MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:3094:3762:3435:3761 MethodDeclaration animateY(int, EasingFunction)","MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:1268:1561:1360:1560 MethodDeclaration yAnimator(int, EasingFunction)"
35c9fc937ecda0dd2eb1a7b879aa869a48bfad3d,refactor(EasingFunction): Simplified EasingFunction,EXTRACT,"EXTRACT	{Method animateXY(int, int, EasingFunction, EasingFunction) at MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:43}	{Method xAnimator(int, EasingFunction) at MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:36})","MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:1135:2414:1608:2413 MethodDeclaration animateXY(int, int, EasingFunction, EasingFunction)","MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:969:1262:1061:1261 MethodDeclaration xAnimator(int, EasingFunction)"
35c9fc937ecda0dd2eb1a7b879aa869a48bfad3d,refactor(EasingFunction): Simplified EasingFunction,EXTRACT,"EXTRACT	{Method animateXY(int, int, EasingFunction, EasingFunction) at MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:43}	{Method yAnimator(int, EasingFunction) at MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:46})","MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:1135:2414:1608:2413 MethodDeclaration animateXY(int, int, EasingFunction, EasingFunction)","MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:1268:1561:1360:1560 MethodDeclaration yAnimator(int, EasingFunction)"
35c9fc937ecda0dd2eb1a7b879aa869a48bfad3d,refactor(EasingFunction): Simplified EasingFunction,EXTRACT,"EXTRACT	{Method animateX(int, EasingFunction) at MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:80}	{Method xAnimator(int, EasingFunction) at MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:36})","MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:2420:3088:2761:3087 MethodDeclaration animateX(int, EasingFunction)","MPChartLib/src/main/java/com/github/mikephil/charting/animation/ChartAnimator.java:969:1262:1061:1261 MethodDeclaration xAnimator(int, EasingFunction)"
8f5a898a95bee7fbb5b24b9ee00084e94e36dd2c,Improved naming,EXTRACT,EXTRACT	{Method getBelowSum(int) at MPChartLib/src/main/java/com/github/mikephil/charting/data/BarEntry.java:145}	{Method getSumBelow(int) at MPChartLib/src/main/java/com/github/mikephil/charting/data/BarEntry.java:153}),MPChartLib/src/main/java/com/github/mikephil/charting/data/BarEntry.java:3193:3512:3235:3511 MethodDeclaration getBelowSum(int),MPChartLib/src/main/java/com/github/mikephil/charting/data/BarEntry.java:3365:3684:3407:3683 MethodDeclaration getSumBelow(int)
e158ef15e23bb8f00f4cf064a181bd1a018d604b,Renaming of setAxisMinValue etc to setAxisMinimum for consistency,EXTRACT,EXTRACT	{Method setAxisMaxValue(float) at MPChartLib/src/main/java/com/github/mikephil/charting/components/AxisBase.java:591}	{Method setAxisMaximum(float) at MPChartLib/src/main/java/com/github/mikephil/charting/components/AxisBase.java:601}),MPChartLib/src/main/java/com/github/mikephil/charting/components/AxisBase.java:15324:15715:15594:15714 MethodDeclaration setAxisMaxValue(float),MPChartLib/src/main/java/com/github/mikephil/charting/components/AxisBase.java:15499:15889:15768:15888 MethodDeclaration setAxisMaximum(float)
