e5b66192e7b303d7d25fc172b1878c055b554047,New ValueFormatter,RENAME,RENAME	{Class ValueFormatter at MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/BarChartPositiveNegative.java:162}	{Class Formatter at MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/BarChartPositiveNegative.java:157}),MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/BarChartPositiveNegative.java:5276:5670:5276:5670 ClassDeclaration ValueFormatter,MPChartExample/src/main/java/com/xxmassdeveloper/mpchartexample/BarChartPositiveNegative.java:5018:5334:5018:5334 ClassDeclaration Formatter
508cc565a9818d65ee6d295e8a98a4cda14eb9f3,Rename RadarChartActivitry to RadarChartActivity,RENAME,RENAME	{Class RadarChartActivitry at MPChartExample/src/com/xxmassdeveloper/mpchartexample/RadarChartActivitry.java:31}	{Class RadarChartActivity at MPChartExample/src/com/xxmassdeveloper/mpchartexample/RadarChartActivity.java:31}),MPChartExample/src/com/xxmassdeveloper/mpchartexample/RadarChartActivitry.java:1239:9212:1239:9212 ClassDeclaration RadarChartActivitry,MPChartExample/src/com/xxmassdeveloper/mpchartexample/RadarChartActivity.java:1239:9211:1239:9211 ClassDeclaration RadarChartActivity
6d21817c8aed43dae6deb1bf7bb835518ecbe2f6,Rename PointD to MPPointD,RENAME,RENAME	{Class PointD at MPChartLib/src/main/java/com/github/mikephil/charting/utils/PointD.java:6}	{Class MPPointD at MPChartLib/src/main/java/com/github/mikephil/charting/utils/MPPointD.java:6}),MPChartLib/src/main/java/com/github/mikephil/charting/utils/PointD.java:70:1106:70:1106 ClassDeclaration PointD,MPChartLib/src/main/java/com/github/mikephil/charting/utils/MPPointD.java:70:1126:70:1126 ClassDeclaration MPPointD
0632fedfd287e43c91195ca855c327305dbd801d,Work on improving example,RENAME,RENAME	{Class EntryXIndexComparator at MPChartLib/src/main/java/com/github/mikephil/charting/utils/EntryXIndexComparator.java:7}	{Class EntryXComparator at MPChartLib/src/main/java/com/github/mikephil/charting/utils/EntryXComparator.java:7}),MPChartLib/src/main/java/com/github/mikephil/charting/utils/EntryXIndexComparator.java:124:546:124:546 ClassDeclaration EntryXIndexComparator,MPChartLib/src/main/java/com/github/mikephil/charting/utils/EntryXComparator.java:124:539:124:539 ClassDeclaration EntryXComparator
11212eb72dcc67bbbed4c09928f98b580b2fc524,Write example of day axis formatter,MOVE_RENAME,MOVE_RENAME	{Class DayAxisFormatter at MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivity.java:296}	{Class DayAxisValueFormatter at MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/DayAxisValueFormatter.java:9}),MPChartExample/src/com/xxmassdeveloper/mpchartexample/BarChartActivity.java:10271:12788:10271:12788 ClassDeclaration DayAxisFormatter,MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/DayAxisValueFormatter.java:360:3595:360:3595 ClassDeclaration DayAxisValueFormatter
2ae37c30883b0208a2490674495e85e948011687,Restructuring of axis formatters,RENAME,RENAME	{Class MyYAxisValueFormatter at MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyYAxisValueFormatter.java:8}	{Class MyAxisValueFormatter at MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyAxisValueFormatter.java:8}),MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyYAxisValueFormatter.java:207:619:207:619 ClassDeclaration MyYAxisValueFormatter,MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyAxisValueFormatter.java:209:620:209:620 ClassDeclaration MyAxisValueFormatter
922f1a8ab354e3c9408f069bf90366aadc356e6f,Renamed AnimatedJob to match ViewPortJob naming,RENAME,RENAME	{Class AnimatedJob at MPChartLib/src/com/github/mikephil/charting/jobs/AnimatedJob.java:11}	{Class AnimatedViewPortJob at MPChartLib/src/com/github/mikephil/charting/jobs/AnimatedViewPortJob.java:11}),MPChartLib/src/com/github/mikephil/charting/jobs/AnimatedJob.java:307:1407:307:1407 ClassDeclaration AnimatedJob,MPChartLib/src/com/github/mikephil/charting/jobs/AnimatedViewPortJob.java:307:1423:307:1423 ClassDeclaration AnimatedViewPortJob
2dd9d5aa34899207fb5fdfffc33bd1ccea28dfb5,Introduce zoomToAnimated(...) method - first version,RENAME,RENAME	{Class Job at MPChartLib/src/com/github/mikephil/charting/jobs/Job.java:9}	{Class ViewPortJob at MPChartLib/src/com/github/mikephil/charting/jobs/ViewPortJob.java:9}),MPChartLib/src/com/github/mikephil/charting/jobs/Job.java:187:1011:187:1011 ClassDeclaration Job,MPChartLib/src/com/github/mikephil/charting/jobs/ViewPortJob.java:187:1278:187:1278 ClassDeclaration ViewPortJob
d8a898f114f85120881a14f522e7efc1b8cdfe06,Work on implementing realm stacked-bars support,RENAME,RENAME	{Class RealmDatabaseActivity at MPChartExample/src/com/xxmassdeveloper/mpchartexample/RealmDatabaseActivity.java:24}	{Class RealmDatabaseActivityLine at MPChartExample/src/com/xxmassdeveloper/mpchartexample/RealmDatabaseActivityLine.java:24}),MPChartExample/src/com/xxmassdeveloper/mpchartexample/RealmDatabaseActivity.java:954:3413:954:3413 ClassDeclaration RealmDatabaseActivity,MPChartExample/src/com/xxmassdeveloper/mpchartexample/RealmDatabaseActivityLine.java:954:2474:954:2474 ClassDeclaration RealmDatabaseActivityLine
6ae1eefc40e446973a2734dd182a8051c7c3c43e,Fixed typo in classname,RENAME,RENAME	{Class DefaultXAxisAxisValueFormatter at MPChartLib/src/com/github/mikephil/charting/formatter/DefaultXAxisAxisValueFormatter.java:5}	{Class DefaultXAxisValueFormatter at MPChartLib/src/com/github/mikephil/charting/formatter/DefaultXAxisValueFormatter.java:5}),MPChartLib/src/com/github/mikephil/charting/formatter/DefaultXAxisAxisValueFormatter.java:109:539:109:539 ClassDeclaration DefaultXAxisAxisValueFormatter,MPChartLib/src/com/github/mikephil/charting/formatter/DefaultXAxisValueFormatter.java:109:535:109:535 ClassDeclaration DefaultXAxisValueFormatter
