d67ea481af1e8528c617dfd404d0c7827b0134b2,Huge Project Refresh,CHANGE_SIGNATURE,CHANGE_SIGNATURE	{Method generateDataPie(int) at MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewMultiChartActivity.java:155}	{Method generateDataPie() at MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewMultiChartActivity.java:164}),MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewMultiChartActivity.java:5230:5834:5376:5833 MethodDeclaration generateDataPie(int),MPChartExample/src/com/xxmassdeveloper/mpchartexample/ListViewMultiChartActivity.java:5421:5977:5568:5976 MethodDeclaration generateDataPie()
35c9fc937ecda0dd2eb1a7b879aa869a48bfad3d,refactor(EasingFunction): Simplified EasingFunction,CHANGE_SIGNATURE,"CHANGE_SIGNATURE	{Method spin(int, float, float, Easing.EasingOption) at MPChartLib/src/main/java/com/github/mikephil/charting/charts/PieRadarChartBase.java:472}	{Method spin(int, float, float, EasingFunction) at MPChartLib/src/main/java/com/github/mikephil/charting/charts/PieRadarChartBase.java:473})","MPChartLib/src/main/java/com/github/mikephil/charting/charts/PieRadarChartBase.java:15098:15990:15367:15989 MethodDeclaration spin(int, float, float, Easing.EasingOption)","MPChartLib/src/main/java/com/github/mikephil/charting/charts/PieRadarChartBase.java:15167:16018:15431:16017 MethodDeclaration spin(int, float, float, EasingFunction)"
72031d33cacf9d880261e491a5de6f0c1b2de78d,Allow locking drag on either axes,CHANGE_SIGNATURE,"CHANGE_SIGNATURE	{Method performDrag(MotionEvent) at MPChartLib/src/main/java/com/github/mikephil/charting/listener/BarLineChartTouchListener.java:290}	{Method performDrag(MotionEvent, float, float) at MPChartLib/src/main/java/com/github/mikephil/charting/listener/BarLineChartTouchListener.java:310})",MPChartLib/src/main/java/com/github/mikephil/charting/listener/BarLineChartTouchListener.java:10142:11158:10292:11157 MethodDeclaration performDrag(MotionEvent),"MPChartLib/src/main/java/com/github/mikephil/charting/listener/BarLineChartTouchListener.java:10935:11719:11119:11718 MethodDeclaration performDrag(MotionEvent, float, float)"
a02e108f467cda0e74b40bc055251486fe075f45,Implemented icon support,CHANGE_SIGNATURE,"CHANGE_SIGNATURE	{Method new(float, float[], String) at MPChartLib/src/main/java/com/github/mikephil/charting/data/BarEntry.java:59}	{Method new(float, float[], Drawable) at MPChartLib/src/main/java/com/github/mikephil/charting/data/BarEntry.java:109})","MPChartLib/src/main/java/com/github/mikephil/charting/data/BarEntry.java:1232:1596:1474:1595 MethodDeclaration new(float, float[], String)","MPChartLib/src/main/java/com/github/mikephil/charting/data/BarEntry.java:2527:2904:2783:2903 MethodDeclaration new(float, float[], Drawable)"
7a10c05e3a2a1f2d7549b1ff42c565e1ce291937,Added feature for dashing legend line forms (Closes #1843),CHANGE_SIGNATURE,"CHANGE_SIGNATURE	{Method new(String, Legend.LegendForm, float, float, int) at MPChartLib/src/main/java/com/github/mikephil/charting/components/LegendEntry.java:11}	{Method new(String, Legend.LegendForm, float, float, DashPathEffect, int) at MPChartLib/src/main/java/com/github/mikephil/charting/components/LegendEntry.java:13})","MPChartLib/src/main/java/com/github/mikephil/charting/components/LegendEntry.java:175:892:718:891 MethodDeclaration new(String, Legend.LegendForm, float, float, int)","MPChartLib/src/main/java/com/github/mikephil/charting/components/LegendEntry.java:216:1121:893:1120 MethodDeclaration new(String, Legend.LegendForm, float, float, DashPathEffect, int)"
ea6b0e8e1c3f2567ad5724807a31493b7b88e629,Simplified legend entries configuration. Option to style dataset form...,CHANGE_SIGNATURE,"CHANGE_SIGNATURE	{Method drawForm(Canvas, float, float, int, Legend) at MPChartLib/src/main/java/com/github/mikephil/charting/renderer/LegendRenderer.java:422}	{Method drawForm(Canvas, float, float, LegendEntry, Legend) at MPChartLib/src/main/java/com/github/mikephil/charting/renderer/LegendRenderer.java:459})","MPChartLib/src/main/java/com/github/mikephil/charting/renderer/LegendRenderer.java:15898:16912:16263:16911 MethodDeclaration drawForm(Canvas, float, float, int, Legend)","MPChartLib/src/main/java/com/github/mikephil/charting/renderer/LegendRenderer.java:17442:19267:17876:19266 MethodDeclaration drawForm(Canvas, float, float, LegendEntry, Legend)"
2d54fd1f3f0aeba4ffd65b8ad8cd1d11d47cadb1,Call createRenderers() instead of recreating the renderer each time,CHANGE_SIGNATURE,"CHANGE_SIGNATURE	{Method createRenderers(CombinedChart, ChartAnimator, ViewPortHandler) at MPChartLib/src/main/java/com/github/mikephil/charting/renderer/CombinedChartRenderer.java:36}	{Method createRenderers() at MPChartLib/src/main/java/com/github/mikephil/charting/renderer/CombinedChartRenderer.java:37})","MPChartLib/src/main/java/com/github/mikephil/charting/renderer/CombinedChartRenderer.java:1278:2848:1622:2847 MethodDeclaration createRenderers(CombinedChart, ChartAnimator, ViewPortHandler)",MPChartLib/src/main/java/com/github/mikephil/charting/renderer/CombinedChartRenderer.java:1346:2874:1531:2873 MethodDeclaration createRenderers()
99379d7bcffd3247bde40fbe06bab8ec58066586,Renamed `ShapeRenderer` -> `IShapeRenderer`,CHANGE_SIGNATURE,CHANGE_SIGNATURE	{Method setShapeRenderer(ShapeRenderer) at MPChartLib/src/main/java/com/github/mikephil/charting/data/ScatterDataSet.java:101}	{Method setShapeRenderer(IShapeRenderer) at MPChartLib/src/main/java/com/github/mikephil/charting/data/ScatterDataSet.java:99}),MPChartLib/src/main/java/com/github/mikephil/charting/data/ScatterDataSet.java:3209:3523:3477:3522 MethodDeclaration setShapeRenderer(ShapeRenderer),MPChartLib/src/main/java/com/github/mikephil/charting/data/ScatterDataSet.java:3164:3481:3435:3480 MethodDeclaration setShapeRenderer(IShapeRenderer)
d372fd305c600286709e90e49eb7b13881afdd6a,Eliminate allocs - Rect and RectF buffers (#1892),CHANGE_SIGNATURE,"CHANGE_SIGNATURE	{Method getBarBounds(BarEntry) at MPChartLib/src/main/java/com/github/mikephil/charting/charts/HorizontalBarChart.java:143}	{Method getBarBounds(BarEntry, RectF) at MPChartLib/src/main/java/com/github/mikephil/charting/charts/HorizontalBarChart.java:143})",MPChartLib/src/main/java/com/github/mikephil/charting/charts/HorizontalBarChart.java:5262:5849:5315:5848 MethodDeclaration getBarBounds(BarEntry),"MPChartLib/src/main/java/com/github/mikephil/charting/charts/HorizontalBarChart.java:5262:5966:5332:5965 MethodDeclaration getBarBounds(BarEntry, RectF)"
6878220e2e798e8c4e0b20e39bb051633b9c96ea,Improvements to chart highlighting,CHANGE_SIGNATURE,"CHANGE_SIGNATURE	{Method new(float, float, float, float, int, int, Range, YAxis.AxisDependency) at MPChartLib/src/main/java/com/github/mikephil/charting/highlight/Highlight.java:94}	{Method new(float, float, float, float, int, int, YAxis.AxisDependency) at MPChartLib/src/main/java/com/github/mikephil/charting/highlight/Highlight.java:89})","MPChartLib/src/main/java/com/github/mikephil/charting/highlight/Highlight.java:2199:2965:2841:2964 MethodDeclaration new(float, float, float, float, int, int, Range, YAxis.AxisDependency)","MPChartLib/src/main/java/com/github/mikephil/charting/highlight/Highlight.java:2083:2718:2623:2717 MethodDeclaration new(float, float, float, float, int, int, YAxis.AxisDependency)"
