a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method(List) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:2247}	{Method method(List) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:2312})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:71054:71187:71158:71186 MethodDeclaration method(List)|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:73388:73521:73492:73520 MethodDeclaration method(List)
a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method(Object[]) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1284}	{Method method(Object[]) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1349})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:40572:40681:40652:40680 MethodDeclaration method(Object[])|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:42920:43029:43000:43028 MethodDeclaration method(Object[])
a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method(String) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1257}	{Method method(String) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1322})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:39645:39752:39723:39751 MethodDeclaration method(String)|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:41993:42100:42071:42099 MethodDeclaration method(String)
a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method(MultipartBody.Part[]) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1915}	{Method method(MultipartBody.Part[]) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1980})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:60367:60504:60475:60503 MethodDeclaration method(MultipartBody.Part[])|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:62708:62845:62816:62844 MethodDeclaration method(MultipartBody.Part[])
a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method(Object) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1476}	{Method method(Object) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1541})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:46717:46801:46772:46800 MethodDeclaration method(Object)|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:49065:49149:49120:49148 MethodDeclaration method(Object)
a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method(String, String) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1084}	{Method method(String, String) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1216})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:33651:33794:33765:33793 MethodDeclaration method(String, String)|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:38158:38301:38272:38300 MethodDeclaration method(String, String)
a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method() at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1512}	{Method method() at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1577})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:47641:47710:47681:47709 MethodDeclaration method()|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:49989:50058:50029:50057 MethodDeclaration method()
a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method(Object) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1495}	{Method method(Object) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1560})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:47214:47309:47280:47308 MethodDeclaration method(Object)|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:49562:49657:49628:49656 MethodDeclaration method(Object)
a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method(String, String) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1614}	{Method method(String, String) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:1679})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:50481:50591:50562:50590 MethodDeclaration method(String, String)|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:52829:52939:52910:52938 MethodDeclaration method(String, String)
a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method(Map) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:2111}	{Method method(Map) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:2268})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:66875:67040:67011:67039 MethodDeclaration method(Map)|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:72082:72227:72198:72226 MethodDeclaration method(Map)
a7755ea446804b1c1d27480679d10e682b121141|Support okhttp3.Headers for HeadersMap parameters.|INTERNAL_MOVE|INTERNAL_MOVE	{Method method(Map) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:2077}	{Method method(Map) at retrofit/src/test/java/retrofit2/RequestFactoryTest.java:2250})|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:65747:65892:65863:65891 MethodDeclaration method(Map)|retrofit/src/test/java/retrofit2/RequestFactoryTest.java:71592:71737:71708:71736 MethodDeclaration method(Map)
